6.2,29.0,179.8,38.440000000000005
9.5,44.0,418.0,90.25
10.5,36.0,378.0,110.25
7.7,37.0,284.90000000000003,59.290000000000006
8.6,53.0,455.79999999999995,73.96
34.1,68.0,2318.8,1162.8100000000002
11.0,75.0,825.0,121.0
6.9,18.0,124.2,47.61000000000001
7.3,31.0,226.29999999999998,53.29
15.1,25.0,377.5,228.01
29.1,34.0,989.4000000000001,846.8100000000001
2.2,14.0,30.800000000000004,4.840000000000001
5.7,11.0,62.7,32.49
2.0,11.0,22.0,4.0
2.5,22.0,55.0,6.25
4.0,16.0,64.0,16.0
5.4,27.0,145.8,29.160000000000004
2.2,9.0,19.8,4.840000000000001
7.2,29.0,208.8,51.84
15.1,30.0,453.0,228.01
16.5,40.0,660.0,272.25
18.4,32.0,588.8,338.55999999999995
36.2,41.0,1484.2,1310.4400000000003
39.7,147.0,5835.900000000001,1576.0900000000001
18.5,22.0,407.0,342.25
23.3,29.0,675.7,542.89
12.2,46.0,561.1999999999999,148.83999999999997
5.6,23.0,128.79999999999998,31.359999999999996
21.8,4.0,87.2,475.24
21.6,31.0,669.6,466.56000000000006
9.0,39.0,351.0,81.0
3.6,15.0,54.0,12.96
5.0,32.0,160.0,25.0
28.6,27.0,772.2,817.96
17.4,32.0,556.8,302.75999999999993
11.3,34.0,384.20000000000005,127.69000000000001
3.4,17.0,57.8,11.559999999999999
11.9,46.0,547.4,141.61
10.5,42.0,441.0,110.25
10.7,43.0,460.09999999999997,114.48999999999998
10.8,34.0,367.20000000000005,116.64000000000001
4.8,19.0,91.2,23.04
